EventID	TotalHits	UniqueHits	Ratio
1258	1600	1352	0.845
1259	77	77	1
1262	801	771	0.962547
1264	2849	1651	0.579502
1265	1371	186	0.135667
1266	2551	306	0.119953
1271	52	52	1
1272	778	778	1
1275	303	48	0.158416
1277	24	24	1
1278	216	46	0.212963
1280	10271	1314	0.127933
1281	27089	3196	0.117981
1290	144	81	0.5625
1297	48	48	1
1299	509	264	0.518664
1300	535	535	1
1301	287	36	0.125436
1302	504	299	0.593254
1305	397	315	0.793451
1306	148	148	1
1308	1871	254	0.135756
1311	11	11	1
1315	225	225	1
1317	783	620	0.791826
1318	1894	1816	0.958817
1320	152	80	0.526316
1322	946	715	0.755814
1327	12	12	1
1332	783	753	0.961686
1333	20	20	1
1334	863	863	1
1335	461	75	0.16269
1337	186	135	0.725806
1338	236	53	0.224576
1340	129	129	1
1341	241	122	0.506224
1342	56	56	1
1343	5252	2196	0.418126
1351	2288	2214	0.967657
1355	174	83	0.477011
1357	7001	637	0.090987
1359	2579	2525	0.979062
1361	34	34	1
1363	21	21	1
1364	201	201	1
1365	23	23	1
1366	309	72	0.23301
1368	7275	1683	0.23134
1371	418	184	0.440191
1374	10	10	1
1376	198	27	0.136364
1377	472	59	0.125
1378	837	432	0.516129
1380	191	94	0.492147
1381	354	354	1
1384	15297	2261	0.147807
1385	21	9	0.428571
1386	24401	2690	0.110241
1388	1002	203	0.202595
1389	3045	2836	0.931363
1395	711	711	1
1396	2506	248	0.0989625
1397	92	19	0.206522
1400	22	22	1
1401	22	22	1
1404	829	102	0.12304
1407	1633	1287	0.78812
1410	610	568	0.931148
1411	2143	256	0.119459
1413	119	59	0.495798
1415	3284	912	0.27771
1417	152	152	1
1419	6751	1882	0.278774
1423	405	86	0.212346
1425	117	40	0.34188
1426	45	45	1
1427	1825	350	0.191781
1431	2503	1507	0.602078
1433	399	29	0.0726817
1437	11	11	1
1440	191	191	1
1442	47	47	1
1444	160	160	1
1446	3337	2941	0.881331
1449	257	257	1
1450	984	721	0.732724
1451	26	26	1
1452	325	73	0.224615
1453	1722	186	0.108014
1454	258	58	0.224806
1457	227	227	1
1459	428	428	1
1460	43	43	1
1461	258	34	0.131783
1462	18	3	0.166667
1464	748	748	1
1466	6944	686	0.0987903
1467	324	131	0.404321
1468	1592	1330	0.835427
1470	266	147	0.552632
1471	1442	1222	0.847434
1473	152	40	0.263158
1474	7334	829	0.113035
1477	6391	678	0.106087
1478	118	18	0.152542
1480	26	26	1
1481	297	76	0.255892
1486	831	247	0.297232
1487	8720	1300	0.149083
1488	1051	1051	1
1489	1051	755	0.718363
1490	141	141	1
1491	7290	2171	0.297805
1492	624	624	1
1493	224	224	1
1494	599	599	1
1496	2151	1760	0.818224
1497	293	293	1
1498	7156	1251	0.174818
1499	2439	679	0.278393
1500	56	8	0.142857
1501	4830	501	0.103727
1503	1421	338	0.237861
1506	937	785	0.83778
1507	466	52	0.111588
1509	3583	3261	0.910131
1511	65	29	0.446154
1513	604	369	0.610927
1519	326	158	0.484663
1520	76	76	1
1521	974	112	0.11499
1523	2274	2274	1
1524	11309	3228	0.285436
1525	98	14	0.142857
1531	2493	1823	0.731247
1533	4213	1798	0.426774
1534	254	34	0.133858
1537	511	511	1
1539	33	33	1
1542	12437	1387	0.111522
1544	51	51	1
1546	1005	119	0.118408
1548	215	215	1
1550	2198	1981	0.901274
1552	2616	2236	0.85474
1553	1419	1007	0.709655
1554	30	30	1
1555	9	9	1
1556	33	33	1
1557	1313	1313	1
1558	3617	702	0.194083
1560	528	528	1
1561	1605	218	0.135826
1569	14952	1073	0.071763
1573	32	32	1
1575	240	31	0.129167
1576	90	90	1
1577	287	39	0.135889
1582	2839	329	0.115886
1584	120	15	0.125
1587	387	387	1
